"Japanese", "日本語"


# Title
"Continue", "再開する"
"Play Game", "ゲームを始める"
"Map Editor", "マップエディタ"
"Building Editor", "建物エディタ"
"Option", "オプション"
"Credit", "クレジット"
"Quit", "終了"

"New Game", "新規ゲーム"
"Load Game", "ゲームの読み込み"
"Tutorial", "チュートリアル"
"Campaign", "キャンペーン"
"Additional Campaign", "追加キャンペーン"
"Steal Into Mode", "隠密モード"
"Siege Mode", "攻城モード"
"Back", "戻る"

## Title.Option
"Audio volume", "音量"
"Music", "曲"
"Sound Effects", "効果音"

"Graphics", "グラフィックス"
"Quality.Low", "低い"
"Quality.Medium", "中くらい"
"Quality.High", "高い"
"Quality.Very High", "とても高い"
"Quality.Ultra", "最高！"
"Use camera effect.", "カメラへのエフェクトを適用する。"

"Mouse", "マウス"
"Wheel", "ホイール"

"Key config", "キーコンフィグ"
"Game controller", "コントローラ"
"Keyboard", "キーボード"

"Close", "閉じる"

## Title.Load
"Delete", "削除"
"Load", "読み込み"
"Loading...", "読み込み中..."



# Campaign
"Campaign.Start", "開始"



# Credit
"Credit.Model", "モデル"
"Credit.Sound", "音楽"
"Credit.Image", "画像"
"Credit.Font", "フォント"
"Credit.Library", "ライブラリ"

"Music Atelier Amacha", "甘茶の音楽工房"
"Pipoya", "ぴぽや"



# MapSelect
"Previous Map", "前のマップ"
"Next Map", "次のマップ"
"Map Code", "マップコード"

"Map Type", "マップタイプ"
"Plain", "平野"
"Sea", "海辺"
"River", "川"
"Mountain", "山岳"

"Difficulty", "難易度"
"No enemies", "敵が出現しない<size=11>（クリエイティブ）</size>"
"Normal", "普通"
"Difficult", "難しい"
"Insane", "むり"

"Shield direction", "防衛結界の方角"
"North", "北"
"South", "南"
"East", "東"
"West", "西"
"None", "なし"

"Start Game", "ゲーム開始"
"Map drawing...", "フィールドを描画しています..."

"difficult description.", "難しい: ラウンドごとの敵体力の上昇量が増えます。"
"insane description.", "むり: 敵の防御力が増加します。"



# MapEditor
"MapEditor.Size", "マップの広さ"
"MapEditor.Start", "開始"


# Game
"Creative", "クリエイティブ"
"round: {0}", "{0} ラウンド"
"Phase.FirstHelp", "ヘルプ表示"
"Phase.Build", "建築フェーズ"
"Phase.BeforeBuild", "建築フェーズ"
"Phase.Defense", "防衛フェーズ"
"Phase.BeforeDefense", "防衛フェーズ"
"Phase.AfterDefense", "防衛フェーズ"
"Phase.BeforeGather", "収集フェーズ"
"Phase.Gather", "収集フェーズ"
"Phase.GameOver", "敗北"
"Phase.GameClear", "勝利"

"Population", "住民の数"
"Resources", "資源"
"Spirit point", "霊力"
"Build point", "建築ポイント"

"Complete Phase", "フェーズ終了"


## Game.Dialog
"Cancel", "キャンセル"
"OK", "OK"
"Skip", "スキップ"


## Game.Menu
"Back to Game", "ゲームに戻る"
"Restart Phase", "フェーズをやり直す"
"Save", "保存"
"Help", "ヘルプ"
"Back to Title", "タイトルに戻る"

"Back to title?", "タイトルに戻りますか？"
"Restart this phase?", "このフェーズをやり直しますか？"


## Game.Worker
"Aono", "葵乃"
"Chikage", "千景"
"Ibuki", "伊吹"


## Game.Help
